,year,ceremony,award,id1,nom1,id2,nom2,id3,nom3,id4,nom4,nominated,winner
22,2000 Awards,Oscar,Best Art Direction-Set Decoration,tt0124315,,tt0124315,The Cider House Rules,nm0343222,David Gropman,nm0748211,Beth A. Rubino,1,0
23,2000 Awards,Oscar,Best Art Direction-Set Decoration,tt0134119,,tt0134119,The Talented Mr. Ripley,nm0908178,Roy Walker,nm0149055,Bruno Cesari,1,0
24,2000 Awards,Oscar,Best Art Direction-Set Decoration,tt0151568,,tt0151568,Topsy-Turvy,nm0829378,Eve Stewart,nm0124151,John Bush,1,0
25,2000 Awards,Oscar,Best Cinematography,tt0169547,,tt0169547,American Beauty,nm0005734,Conrad L. Hall,,,1,1
26,2000 Awards,Oscar,Best Cinematography,tt0162661,,tt0162661,Sleepy Hollow,nm0523881,Emmanuel Lubezki,,,1,0
27,2000 Awards,Oscar,Best Cinematography,tt0120834,,tt0120834,Snow Falling on Cedars,nm0724744,Robert Richardson,,,1,0
28,2000 Awards,Oscar,Best Cinematography,tt0172396,,tt0172396,The End of the Affair,nm0695536,Roger Pratt,,,1,0
29,2000 Awards,Oscar,Best Cinematography,tt0140352,,tt0140352,The Insider,nm0005883,Dante Spinotti,,,1,0
30,2000 Awards,Oscar,Best Costume Design,tt0151568,,tt0151568,Topsy-Turvy,nm0376089,Lindy Hemming,,,1,1
31,2000 Awards,Oscar,Best Costume Design,tt0166485,,tt0166485,Anna and the King,nm0064746,Jenny Beavan,,,1,0
32,2000 Awards,Oscar,Best Costume Design,tt0162661,,tt0162661,Sleepy Hollow,nm0041181,Colleen Atwood,,,1,0
33,2000 Awards,Oscar,Best Costume Design,tt0134119,,tt0134119,The Talented Mr. Ripley,nm0744778,Ann Roth,nm0428105,Gary Jones,1,0
34,2000 Awards,Oscar,Best Costume Design,tt0120866,,tt0120866,Titus,nm0134382,Milena Canonero,,,1,0
35,2000 Awards,Oscar,Best Director,nm0005222,,nm0005222,Sam Mendes,tt0169547,American Beauty,,,1,1
36,2000 Awards,Oscar,Best Director,nm0002120,,nm0002120,Lasse Hallström,tt0124315,The Cider House Rules,,,1,0
37,2000 Awards,Oscar,Best Director,nm0796117,,nm0796117,M. Night Shyamalan,tt0167404,The Sixth Sense,,,1,0
38,2000 Awards,Oscar,Best Director,nm0000520,,nm0000520,Michael Mann,tt0140352,The Insider,,,1,0
39,2000 Awards,Oscar,Best Director,nm0005069,,nm0005069,Spike Jonze,tt0120601,Being John Malkovich,,,1,0
40,2000 Awards,Oscar,"Best Documentary, Features",tt0230591,,tt0230591,One Day in September,nm0004453,Arthur Cohn,nm0531817,Kevin Macdonald,1,1
41,2000 Awards,Oscar,"Best Documentary, Features",tt0186508,,tt0186508,Buena Vista Social Club,nm0000694,Wim Wenders,nm0271570,Ulrich Felsberg,1,0
42,2000 Awards,Oscar,"Best Documentary, Features",tt0187859,,tt0187859,Genghis Blues,nm0067861,Roko Belic,nm0067860,Adrian Belic,1,0
43,2000 Awards,Oscar,"Best Documentary, Features",tt0181733,,tt0181733,On the Ropes,nm0123379,Nanette Burstein,nm0605137,Brett Morgen,1,0
44,2000 Awards,Oscar,"Best Documentary, Features",tt0181835,,tt0181835,Speaking in Strings,nm0223814,Paola di Florio,nm0287933,Lilibet Foster,1,0
45,2000 Awards,Oscar,"Best Documentary, Short Subjects",tt0239528,,tt0239528,King Gimp,nm0169804,Susan Hannah Hadary,nm0925659,William A. Whiteford,1,1
46,2000 Awards,Oscar,"Best Documentary, Short Subjects",tt0239379,,tt0239379,Eyewitness,nm0885769,Bert Van Bork,,,1,0
47,2000 Awards,Oscar,"Best Documentary, Short Subjects",tt0240216,,tt0240216,The Wildest Show in the South: The Angola Prison Rodeo,nm0812144,Simeon Soffer,nm0821033,Jonathan Stack,1,0
48,2000 Awards,Oscar,"Best Effects, Sound Effects Editing",tt0133093,,tt0133093,The Matrix,nm0204424,Dane A. Davis,,,1,1
49,2000 Awards,Oscar,"Best Effects, Sound Effects Editing",tt0137523,,tt0137523,Fight Club,nm0460274,Ren Klyce,nm0405232,Richard Hymns,1,0
50,2000 Awards,Oscar,"Best Effects, Sound Effects Editing",tt0120915,,tt0120915,Star Wars: Episode I - The Phantom Menace,nm0123785,Ben Burtt,nm0068938,Tom Bellfort,1,0
51,2000 Awards,Oscar,"Best Effects, Visual Effects",tt0133093,,tt0133093,The Matrix,nm0300665,John Gaeta,nm0802938,Janek Sirrs,1,1
52,2000 Awards,Oscar,"Best Effects, Visual Effects",tt0120915,,tt0120915,Star Wars: Episode I - The Phantom Menace,nm0461306,John Knoll,nm0613830,Dennis Muren,1,0
53,2000 Awards,Oscar,"Best Effects, Visual Effects",tt0164912,,tt0164912,Stuart Little,nm0004375,John Dykstra,nm0155259,Jerome Chen,1,0
54,2000 Awards,Oscar,Best Film Editing,tt0133093,,tt0133093,The Matrix,nm0821205,Zach Staenberg,,,1,1
55,2000 Awards,Oscar,Best Film Editing,tt0169547,,tt0169547,American Beauty,nm0031697,Tariq Anwar,nm0338642,Christopher Greenbury,1,0
56,2000 Awards,Oscar,Best Film Editing,tt0124315,,tt0124315,The Cider House Rules,nm0161497,Lisa Zeno Churgin,,,1,0
57,2000 Awards,Oscar,Best Film Editing,tt0140352,,tt0140352,The Insider,nm0325549,William Goldenberg,nm0747824,Paul Rubell,1,0
58,2000 Awards,Oscar,Best Film Editing,tt0167404,,tt0167404,The Sixth Sense,nm0597812,Andrew Mondshein,,,1,0
59,2000 Awards,Oscar,Best Foreign Language Film,tt0185125,,tt0185125,All About My Mother,tt0185125,Todo sobre mi madre (original title),,,1,1
60,2000 Awards,Oscar,Best Foreign Language Film,tt0181530,,tt0181530,East/West,tt0181530,Est - Ouest (original title),,,1,0
61,2000 Awards,Oscar,Best Foreign Language Film,tt0210727,,tt0210727,Himalaya,tt0210727,Himalaya - l'enfance d'un chef (original title),,,1,0
62,2000 Awards,Oscar,Best Foreign Language Film,tt0181830,,tt0181830,Solomon & Gaenor,tt0181830,Solomon and Gaenor (original title),,,1,0
63,2000 Awards,Oscar,Best Foreign Language Film,tt0158302,,tt0158302,Under the Sun,tt0158302,Under solen (original title),,,1,0
64,2000 Awards,Oscar,Best Makeup,tt0151568,,tt0151568,Topsy-Turvy,nm0089879,Christine Blundell,nm0698896,Trefor Proud,1,1
65,2000 Awards,Oscar,Best Makeup,tt0145660,,tt0145660,Austin Powers: The Spy Who Shagged Me,nm0121807,Michèle Burke,nm0810480,Mike Smithson,1,0
66,2000 Awards,Oscar,Best Makeup,tt0182789,,tt0182789,Bicentennial Man,nm0134148,Greg Cannom,,,1,0
67,2000 Awards,Oscar,Best Makeup,tt0123964,,tt0123964,Life,nm0000711,Rick Baker,,,1,0
68,2000 Awards,Oscar,"Best Music, Original Score",tt0120802,,tt0120802,The Red Violin,tt0120802,Le violon rouge (original title),nm0179858,John Corigliano,1,1
69,2000 Awards,Oscar,"Best Music, Original Score",tt0169547,,tt0169547,American Beauty,nm0002353,Thomas Newman,,,1,0
70,2000 Awards,Oscar,"Best Music, Original Score",tt0145653,,tt0145653,Angela's Ashes,nm0002354,John Williams,,,1,0
71,2000 Awards,Oscar,"Best Music, Original Score",tt0124315,,tt0124315,The Cider House Rules,nm0006235,Rachel Portman,,,1,0
72,2000 Awards,Oscar,"Best Music, Original Score",tt0134119,,tt0134119,The Talented Mr. Ripley,nm0001189,Gabriel Yared,,,1,0
73,2000 Awards,Oscar,"Best Music, Original Song",tt0120855,,tt0120855,Tarzan,nm0002015,Phil Collins,,,1,1
74,2000 Awards,Oscar,"Best Music, Original Song",tt0175880,,tt0175880,Magnolia,nm0005181,Aimee Mann,,,1,0
75,2000 Awards,Oscar,"Best Music, Original Song",tt0166943,,tt0166943,Music of the Heart,nm0005534,Diane Warren,,,1,0
76,2000 Awards,Oscar,"Best Music, Original Song",tt0158983,,tt0158983,"South Park: Bigger, Longer & Uncut",nm0005295,Trey Parker,nm0003299,Marc Shaiman,1,0
77,2000 Awards,Oscar,"Best Music, Original Song",tt0120363,,tt0120363,Toy Story 2,nm0005271,Randy Newman,,,1,0
78,2000 Awards,Oscar,Best Picture,tt0169547,,tt0169547,American Beauty,nm0169260,Bruce Cohen,nm0423134,Dan Jinks,1,1
79,2000 Awards,Oscar,Best Picture,tt0124315,,tt0124315,The Cider House Rules,nm0321621,Richard N. Gladstein,,,1,0
80,2000 Awards,Oscar,Best Picture,tt0120689,,tt0120689,The Green Mile,nm0883603,David Valdes,nm0001104,Frank Darabont,1,0
81,2000 Awards,Oscar,Best Picture,tt0140352,,tt0140352,The Insider,nm0000520,Michael Mann,nm0115764,Pieter Jan Brugge,1,0
82,2000 Awards,Oscar,Best Picture,tt0167404,,tt0167404,The Sixth Sense,nm0550881,Frank Marshall,nm0005086,Kathleen Kennedy,1,0
83,2000 Awards,Oscar,"Best Short Film, Animated",tt0207639,,tt0207639,The Old Man and the Sea,nm0678154,Aleksandr Petrov,,,1,1
84,2000 Awards,Oscar,"Best Short Film, Animated",tt0239206,,tt0239206,3 Misses,nm0237895,Paul Driessen,,,1,0
85,2000 Awards,Oscar,"Best Short Film, Animated",tt0192145,,tt0192145,Humdrum,nm0668849,Peter Peake,,,1,0
86,2000 Awards,Oscar,"Best Short Film, Animated",tt0210853,,tt0210853,My Grandmother Ironed the King's Shirts,nm0468380,Torill Kove,,,1,0
87,2000 Awards,Oscar,"Best Short Film, Animated",tt0200282,,tt0200282,When the Day Breaks,nm0863195,Wendy Tilby,nm0285428,Amanda Forbis,1,0
88,2000 Awards,Oscar,"Best Short Film, Live Action",tt0177023,,tt0177023,My Mother Dreams the Satan's Disciples in New York,nm0774294,Barbara Schock,nm0862843,Tammy Tiehel,1,1
89,2000 Awards,Oscar,"Best Short Film, Live Action",tt0236386,,tt0236386,Killing Joe,nm0635741,Mehdi Norowzian,nm0915377,Steve Wax,1,0
90,2000 Awards,Oscar,"Best Short Film, Live Action",tt0200780,,tt0200780,Kleingeld,nm0090596,Marc-Andreas Bochert,nm0513115,Gabriele Lins,1,0
91,2000 Awards,Oscar,"Best Short Film, Live Action",tt0239583,,tt0239583,Stora & små mirakel,nm0648103,Marcus Olsson,,,1,0
92,2000 Awards,Oscar,"Best Short Film, Live Action",tt0191850,,tt0191850,Theis and Nico,tt0191850,"Bror, min bror (original title)",nm0313227,Henrik Ruben Genz,1,0
93,2000 Awards,Oscar,Best Sound,tt0133093,,tt0133093,The Matrix,nm0718676,John T. Reitz,nm0748832,Gregg Rudloff,1,1
94,2000 Awards,Oscar,Best Sound,tt0120915,,tt0120915,Star Wars: Episode I - The Phantom Menace,nm0003977,Gary Rydstrom,nm0426348,Tom Johnson,1,0
95,2000 Awards,Oscar,Best Sound,tt0120689,,tt0120689,The Green Mile,nm0514448,Robert J. Litt,nm0006525,Elliot Tyson,1,0
96,2000 Awards,Oscar,Best Sound,tt0140352,,tt0140352,The Insider,nm0625144,Andy Nelson,nm0376153,Doug Hemphill,1,0
97,2000 Awards,Oscar,Best Sound,tt0120616,,tt0120616,The Mummy,nm0789458,Leslie Shatz,nm0139303,Chris Carpenter,1,0
98,2000 Awards,Oscar,"Best Writing, Screenplay Based on Material Previously Produced or Published",tt0124315,,tt0124315,The Cider House Rules,nm0410288,John Irving,,,1,1
99,2000 Awards,Oscar,"Best Writing, Screenplay Based on Material Previously Produced or Published",tt0126886,,tt0126886,Election,nm0668247,Alexander Payne,nm0852591,Jim Taylor,1,0
100,2000 Awards,Oscar,"Best Writing, Screenplay Based on Material Previously Produced or Published",tt0120689,,tt0120689,The Green Mile,nm0001104,Frank Darabont,,,1,0
101,2000 Awards,Oscar,"Best Writing, Screenplay Based on Material Previously Produced or Published",tt0140352,,tt0140352,The Insider,nm0744839,Eric Roth,nm0000520,Michael Mann,1,0
102,2000 Awards,Oscar,"Best Writing, Screenplay Based on Material Previously Produced or Published",tt0134119,,tt0134119,The Talented Mr. Ripley,nm0005237,Anthony Minghella,,,1,0
103,2000 Awards,Oscar,"Best Writing, Screenplay Written Directly for the Screen",tt0169547,,tt0169547,American Beauty,nm0050332,Alan Ball,,,1,1
104,2000 Awards,Oscar,"Best Writing, Screenplay Written Directly for the Screen",tt0120601,,tt0120601,Being John Malkovich,nm0442109,Charlie Kaufman,,,1,0
105,2000 Awards,Oscar,"Best Writing, Screenplay Written Directly for the Screen",tt0175880,,tt0175880,Magnolia,nm0000759,Paul Thomas Anderson,,,1,0
106,2000 Awards,Oscar,"Best Writing, Screenplay Written Directly for the Screen",tt0167404,,tt0167404,The Sixth Sense,nm0796117,M. Night Shyamalan,,,1,0
107,2000 Awards,Oscar,"Best Writing, Screenplay Written Directly for the Screen",tt0151568,,tt0151568,Topsy-Turvy,nm0005139,Mike Leigh,,,1,0
108,2001 Awards,Oscar,Best Actor in a Leading Role,nm0000128,,nm0000128,Russell Crowe,tt0172495,Gladiator,,,1,1
109,2001 Awards,Oscar,Best Actor in a Leading Role,nm0000438,,nm0000438,Ed Harris,tt0183659,Pollock,,,1,0
110,2001 Awards,Oscar,Best Actor in a Leading Role,nm0001691,,nm0001691,Geoffrey Rush,tt0180073,Quills,,,1,0
111,2001 Awards,Oscar,Best Actor in a Leading Role,nm0000849,,nm0000849,Javier Bardem,tt0247196,Before Night Falls,,,1,0
112,2001 Awards,Oscar,Best Actor in a Leading Role,nm0000158,,nm0000158,Tom Hanks,tt0162222,Cast Away,,,1,0
113,2001 Awards,Oscar,Best Actor in a Supporting Role,nm0001125,,nm0001125,Benicio Del Toro,tt0181865,Traffic,,,1,1
114,2001 Awards,Oscar,Best Actor in a Supporting Role,nm0001215,,nm0001215,Albert Finney,tt0195685,Erin Brockovich,,,1,0
115,2001 Awards,Oscar,Best Actor in a Supporting Role,nm0000313,,nm0000313,Jeff Bridges,tt0208874,The Contender,,,1,0
116,2001 Awards,Oscar,Best Actor in a Supporting Role,nm0001618,,nm0001618,Joaquin Phoenix,tt0172495,Gladiator,,,1,0
117,2001 Awards,Oscar,Best Actor in a Supporting Role,nm0000353,,nm0000353,Willem Dafoe,tt0189998,Shadow of the Vampire,,,1,0
118,2001 Awards,Oscar,Best Actress in a Leading Role,nm0000210,,nm0000210,Julia Roberts,tt0195685,Erin Brockovich,,,1,1
119,2001 Awards,Oscar,Best Actress in a Leading Role,nm0000995,,nm0000995,Ellen Burstyn,tt0180093,Requiem for a Dream,,,1,0
120,2001 Awards,Oscar,Best Actress in a Leading Role,nm0000260,,nm0000260,Joan Allen,tt0208874,The Contender,,,1,0
121,2001 Awards,Oscar,Best Actress in a Leading Role,nm0000300,,nm0000300,Juliette Binoche,tt0241303,Chocolat,,,1,0
122,2001 Awards,Oscar,Best Actress in a Leading Role,nm0001473,,nm0001473,Laura Linney,tt0203230,You Can Count on Me,,,1,0
123,2001 Awards,Oscar,Best Actress in a Supporting Role,nm0001315,,nm0001315,Marcia Gay Harden,tt0183659,Pollock,,,1,1
124,2001 Awards,Oscar,Best Actress in a Supporting Role,nm0000531,,nm0000531,Frances McDormand,tt0181875,Almost Famous,,,1,0
125,2001 Awards,Oscar,Best Actress in a Supporting Role,nm0001132,,nm0001132,Judi Dench,tt0241303,Chocolat,,,1,0
126,2001 Awards,Oscar,Best Actress in a Supporting Role,nm0910278,,nm0910278,Julie Walters,tt0249462,Billy Elliot,,,1,0
127,2001 Awards,Oscar,Best Actress in a Supporting Role,nm0005028,,nm0005028,Kate Hudson,tt0181875,Almost Famous,,,1,0
128,2001 Awards,Oscar,Best Art Direction-Set Decoration,tt0190332,,tt0190332,"Crouching Tiger, Hidden Dragon",tt0190332,Wo hu cang long (original title),nm0947315,Tim Yip,1,1
129,2001 Awards,Oscar,Best Art Direction-Set Decoration,tt0172495,,tt0172495,Gladiator,nm0561480,Arthur Max,nm0758605,Crispian Sallis,1,0
130,2001 Awards,Oscar,Best Art Direction-Set Decoration,tt0170016,,tt0170016,How the Grinch Stole Christmas,nm0179749,Michael Corenblith,nm0098353,Merideth Boswell,1,0
131,2001 Awards,Oscar,Best Art Direction-Set Decoration,tt0180073,,tt0180073,Quills,nm0157575,Martin Childs,nm0703296,Jill Quertier,1,0
132,2001 Awards,Oscar,Best Art Direction-Set Decoration,tt0190861,,tt0190861,Vatel,nm0704740,Jean Rabasse,nm0072326,Françoise Benoît-Fresco,1,0
133,2001 Awards,Oscar,Best Cinematography,tt0190332,,tt0190332,"Crouching Tiger, Hidden Dragon",tt0190332,Wo hu cang long (original title),nm0666702,Peter Pau,1,1
134,2001 Awards,Oscar,Best Cinematography,tt0172495,,tt0172495,Gladiator,nm0558822,John Mathieson,,,1,0
135,2001 Awards,Oscar,Best Cinematography,tt0213847,,tt0213847,Malena,tt0213847,Malèna (original title),nm0005759,Lajos Koltai,1,0
136,2001 Awards,Oscar,Best Cinematography,tt0190590,,tt0190590,"O Brother, Where Art Thou?",nm0005683,Roger Deakins,,,1,0
137,2001 Awards,Oscar,Best Cinematography,tt0187393,,tt0187393,The Patriot,nm0221042,Caleb Deschanel,,,1,0
138,2001 Awards,Oscar,Best Costume Design,tt0172495,,tt0172495,Gladiator,nm0946765,Janty Yates,,,1,1
139,2001 Awards,Oscar,Best Costume Design,tt0211181,,tt0211181,102 Dalmatians,nm0694018,Anthony Powell,,,1,0
140,2001 Awards,Oscar,Best Costume Design,tt0190332,,tt0190332,"Crouching Tiger, Hidden Dragon",tt0190332,Wo hu cang long (original title),nm0947315,Tim Yip,1,0
141,2001 Awards,Oscar,Best Costume Design,tt0170016,,tt0170016,How the Grinch Stole Christmas,nm0752374,Rita Ryack,,,1,0
142,2001 Awards,Oscar,Best Costume Design,tt0180073,,tt0180073,Quills,nm0922113,Jacqueline West,,,1,0
143,2001 Awards,Oscar,Best Director,nm0001752,,nm0001752,Steven Soderbergh,tt0181865,Traffic,,,1,1
144,2001 Awards,Oscar,Best Director,nm0000487,,nm0000487,Ang Lee,tt0190332,"Crouching Tiger, Hidden Dragon",tt0190332,Wo hu cang long (original title),1,0
145,2001 Awards,Oscar,Best Director,nm0000631,,nm0000631,Ridley Scott,tt0172495,Gladiator,,,1,0
146,2001 Awards,Oscar,Best Director,nm0197636,,nm0197636,Stephen Daldry,tt0249462,Billy Elliot,,,1,0
147,2001 Awards,Oscar,Best Director,nm0001752,,nm0001752,Steven Soderbergh,tt0195685,Erin Brockovich,,,1,0
148,2001 Awards,Oscar,"Best Documentary, Features",tt0248912,,tt0248912,Into the Arms of Strangers: Stories of the Kindertransport,nm0365057,Mark Jonathan Harris,nm0649179,Deborah Oppenheimer,1,1
149,2001 Awards,Oscar,"Best Documentary, Features",tt0188028,,tt0188028,Legacy,nm0501781,Tod Lending,,,1,0
150,2001 Awards,Oscar,"Best Documentary, Features",tt0236447,,tt0236447,Long Night's Journey Into Day,nm0717266,Frances Reid,nm0389161,Deborah Hoffmann,1,0
151,2001 Awards,Oscar,"Best Documentary, Features",tt0240885,,tt0240885,Scottsboro: An American Tragedy,nm0329014,Barak Goodman,nm0030155,Daniel Anker,1,0
152,2001 Awards,Oscar,"Best Documentary, Features",tt0240912,,tt0240912,Sound and Fury,nm0036977,Josh Aronson,nm0918724,Roger Weisberg,1,0
153,2001 Awards,Oscar,"Best Documentary, Short Subjects",tt0280353,,tt0280353,Big Mama,nm0785033,Tracy Seretean,,,1,1
154,2001 Awards,Oscar,"Best Documentary, Short Subjects",tt0280580,,tt0280580,Curtain Call,nm0106015,Charles Braverman,nm0435470,Steve Kalafer,1,0
155,2001 Awards,Oscar,"Best Documentary, Short Subjects",tt0263278,,tt0263278,Dolphins,nm0532263,Greg MacGillivray,nm0520975,Alec Lorimore,1,0
156,2001 Awards,Oscar,"Best Documentary, Short Subjects",tt0254621,,tt0254621,On Tiptoe: Gentle Steps to Freedom,nm0800787,Eric Simonson,nm0218695,Leelai Demoz,1,0
157,2001 Awards,Oscar,"Best Documentary, Short Subjects",tt0271628,,tt0271628,The Man on Lincoln's Nose,nm0706888,Daniel Raim,,,1,0
158,2001 Awards,Oscar,"Best Effects, Visual Effects",tt0172495,,tt0172495,Gladiator,nm0625471,John Nelson,nm0179273,Neil Corbould,1,1
159,2001 Awards,Oscar,"Best Effects, Visual Effects",tt0164052,,tt0164052,Hollow Man,nm0027423,Scott E. Anderson,nm0370960,Craig Hayes,1,0
160,2001 Awards,Oscar,"Best Effects, Visual Effects",tt0177971,,tt0177971,The Perfect Storm,nm0266777,Stefen Fangmeier,nm0953464,Habib Zargarpour,1,0
161,2001 Awards,Oscar,Best Film Editing,tt0181865,,tt0181865,Traffic,nm0592537,Stephen Mirrione,,,1,1
162,2001 Awards,Oscar,Best Film Editing,tt0181875,,tt0181875,Almost Famous,nm0404528,Joe Hutshing,nm0458964,Saar Klein,1,0
163,2001 Awards,Oscar,Best Film Editing,tt0190332,,tt0190332,"Crouching Tiger, Hidden Dragon",tt0190332,Wo hu cang long (original title),nm0820163,Tim Squyres,1,0
164,2001 Awards,Oscar,Best Film Editing,tt0172495,,tt0172495,Gladiator,nm0768817,Pietro Scalia,,,1,0
165,2001 Awards,Oscar,Best Film Editing,tt0185014,,tt0185014,Wonder Boys,nm0020441,Dede Allen,,,1,0
166,2001 Awards,Oscar,Best Foreign Language Film,tt0190332,,tt0190332,"Crouching Tiger, Hidden Dragon",tt0190332,Wo hu cang long (original title),,,1,1
167,2001 Awards,Oscar,Best Foreign Language Film,tt0245712,,tt0245712,Amores perros,,,,,1,0
168,2001 Awards,Oscar,Best Foreign Language Film,tt0234288,,tt0234288,Divided We Fall,tt0234288,Musíme si pomáhat (original title),,,1,0
169,2001 Awards,Oscar,Best Foreign Language Film,tt0209037,,tt0209037,Everybody's Famous!,tt0209037,Iedereen beroemd! (original title),,,1,0
170,2001 Awards,Oscar,Best Foreign Language Film,tt0216787,,tt0216787,The Taste of Others,tt0216787,Le goût des autres (original title),,,1,0
171,2001 Awards,Oscar,Best Makeup,tt0170016,,tt0170016,How the Grinch Stole Christmas,nm0000711,Rick Baker,nm0746648,Gail Rowell-Ryan,1,1
172,2001 Awards,Oscar,Best Makeup,tt0189998,,tt0189998,Shadow of the Vampire,nm0117973,Ann Buchanan,nm0796282,Amber Sibley,1,0
173,2001 Awards,Oscar,Best Makeup,tt0209958,,tt0209958,The Cell,nm0121807,Michèle Burke,nm0377667,Edouard F. Henriques,1,0
174,2001 Awards,Oscar,"Best Music, Original Score",tt0190332,,tt0190332,"Crouching Tiger, Hidden Dragon",tt0190332,Wo hu cang long (original title),nm0241753,Dun Tan,1,1
175,2001 Awards,Oscar,"Best Music, Original Score",tt0241303,,tt0241303,Chocolat,nm0006235,Rachel Portman,,,1,0
176,2001 Awards,Oscar,"Best Music, Original Score",tt0172495,,tt0172495,Gladiator,nm0001877,Hans Zimmer,,,1,0
177,2001 Awards,Oscar,"Best Music, Original Score",tt0213847,,tt0213847,Malena,tt0213847,Malèna (original title),nm0001553,Ennio Morricone,1,0
178,2001 Awards,Oscar,"Best Music, Original Score",tt0187393,,tt0187393,The Patriot,nm0002354,John Williams,,,1,0
179,2001 Awards,Oscar,"Best Music, Original Song",tt0185014,,tt0185014,Wonder Boys,nm0001168,Bob Dylan,,,1,1
180,2001 Awards,Oscar,"Best Music, Original Song",tt0190332,,tt0190332,"Crouching Tiger, Hidden Dragon",tt0190332,Wo hu cang long (original title),nm0129326,Jorge Calandrelli,1,0
181,2001 Awards,Oscar,"Best Music, Original Song",tt0168629,,tt0168629,Dancer in the Dark,nm0001951,Björk,nm0001885,Lars von Trier,1,0
182,2001 Awards,Oscar,"Best Music, Original Song",tt0212338,,tt0212338,Meet the Parents,nm0005271,Randy Newman,,,1,0
183,2001 Awards,Oscar,"Best Music, Original Song",tt0120917,,tt0120917,The Emperor's New Groove,nm0001776,Sting,nm0366817,Dave Hartley,1,0
184,2001 Awards,Oscar,Best Picture,tt0172495,,tt0172495,Gladiator,nm0926824,Douglas Wick,nm0291905,David Franzoni,1,1
185,2001 Awards,Oscar,Best Picture,tt0241303,,tt0241303,Chocolat,nm0113360,David Brown,nm0325455,Kit Golden,1,0
186,2001 Awards,Oscar,Best Picture,tt0190332,,tt0190332,"Crouching Tiger, Hidden Dragon",tt0190332,Wo hu cang long (original title),nm0465067,William Kong,1,0
187,2001 Awards,Oscar,Best Picture,tt0195685,,tt0195685,Erin Brockovich,nm0000362,Danny DeVito,nm0787834,Michael Shamberg,1,0
188,2001 Awards,Oscar,Best Picture,tt0181865,,tt0181865,Traffic,nm0001880,Edward Zwick,nm0380980,Marshall Herskovitz,1,0
189,2001 Awards,Oscar,"Best Short Film, Animated",tt0279079,,tt0279079,Father and Daughter,nm0240196,Michael Dudok de Wit,,,1,1
